Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.20 15:00:00,1_97927178647E-07
2024.08.20 16:00:00,2_0004510759E-07
2024.08.20 17:00:00,2_02228704893E-07
2024.08.20 18:00:00,2_04309870355E-07
2024.08.20 19:00:00,2_05871756975E-07
2024.08.20 20:00:00,2_07389348361E-07
2024.08.20 21:00:00,2_09129765949E-07
2024.08.20 22:00:00,2_10409254464E-07
2024.08.20 23:00:00,2_12467583083E-07
2024.08.21 00:00:00,2_14441826074E-07
2024.08.21 01:00:00,2_16268219333E-07
2024.08.21 02:00:00,2_1836059716E-07
2024.08.21 03:00:00,2_20479122959E-07
2024.08.21 04:00:00,2_22576943543E-07
2024.08.21 05:00:00,2_24663068593E-07
2024.08.21 06:00:00,2_26712415952E-07
2024.08.21 07:00:00,2_28676427128E-07
2024.08.21 08:00:00,2_30391947298E-07
2024.08.21 09:00:00,2_32128769539E-07
2024.08.21 10:00:00,2_33884094314E-07
2024.08.21 11:00:00,2_35698323081E-07
2024.08.21 12:00:00,2_38093733174E-07
2024.08.21 13:00:00,2_41183101934E-07
2024.08.21 14:00:00,2_43399483679E-07
2024.08.21 15:00:00,2_46201949494E-07
2024.08.21 16:00:00,2_51021617714E-07
2024.08.21 17:00:00,2_54640866615E-07
2024.08.21 18:00:00,2_56941177668E-07
2024.08.21 19:00:00,2_58253919583E-07
2024.08.21 20:00:00,2_59187373786E-07
2024.08.21 21:00:00,2_60374946492E-07
2024.08.21 22:00:00,2_61760362719E-07
2024.08.21 23:00:00,2_63390575128E-07
2024.08.22 00:00:00,2_65233751406E-07
2024.08.22 01:00:00,2_67285827249E-07
2024.08.22 02:00:00,2_69687660648E-07
2024.08.22 03:00:00,2_72382209232E-07
2024.08.22 04:00:00,2_75289664842E-07
2024.08.22 05:00:00,2_78291025779E-07
2024.08.22 06:00:00,2_81432818383E-07
2024.08.22 07:00:00,2_84315518684E-07
2024.08.22 08:00:00,2_86793039095E-07
2024.08.22 09:00:00,2_89296508527E-07
2024.08.22 10:00:00,2_91817087827E-07
2024.08.22 11:00:00,2_95212373658E-07
2024.08.22 12:00:00,2_98596233961E-07
2024.08.22 13:00:00,3_01180733686E-07
2024.08.22 14:00:00,3_03201062479E-07
2024.08.22 15:00:00,3_04817461938E-07
2024.08.22 16:00:00,3_06986493115E-07
2024.08.22 17:00:00,3_09278249233E-07
