Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.23 01:00:00,2_82769997284E-05
2024.08.23 02:00:00,2_82713517663E-05
2024.08.23 03:00:00,2_82580022031E-05
2024.08.23 04:00:00,2_82391574729E-05
2024.08.23 05:00:00,2_82115597656E-05
2024.08.23 06:00:00,2_81879183603E-05
2024.08.23 07:00:00,2_81454504147E-05
2024.08.23 08:00:00,2_80802232737E-05
2024.08.23 09:00:00,2_80323802144E-05
2024.08.23 10:00:00,2_80107942672E-05
2024.08.23 11:00:00,2_79896066786E-05
2024.08.23 12:00:00,2_79585856333E-05
2024.08.23 13:00:00,2_79492105619E-05
2024.08.23 14:00:00,2_7873316867E-05
2024.08.23 15:00:00,2_78709485428E-05
2024.08.23 16:00:00,2_78635125142E-05
2024.08.23 17:00:00,2_78614479612E-05
2024.08.23 18:00:00,2_78323095699E-05
2024.08.23 19:00:00,2_77881699731E-05
2024.08.23 20:00:00,2_7750249501E-05
2024.08.23 21:00:00,2_77098934021E-05
2024.08.23 22:00:00,2_77076123893E-05
2024.08.23 23:00:00,2_76823175227E-05
2024.08.24 00:00:00,2_76551272691E-05
2024.08.24 01:00:00,2_76253686025E-05
2024.08.24 02:00:00,2_76024165942E-05
2024.08.24 03:00:00,2_75721467915E-05
2024.08.24 04:00:00,2_75447164313E-05
2024.08.24 05:00:00,2_75141883321E-05
2024.08.24 06:00:00,2_74746362265E-05
2024.08.24 07:00:00,2_74374160654E-05
2024.08.24 08:00:00,2_74022168014E-05
2024.08.24 09:00:00,2_73687765002E-05
2024.08.24 10:00:00,2_73349251074E-05
2024.08.24 11:00:00,2_73430796369E-05
2024.08.24 12:00:00,2_73315818049E-05
2024.08.24 13:00:00,2_73017340078E-05
2024.08.24 14:00:00,2_72569614026E-05
2024.08.24 15:00:00,2_72184024652E-05
2024.08.24 16:00:00,2_72472916549E-05
2024.08.24 17:00:00,2_72385641438E-05
2024.08.24 18:00:00,2_71870103461E-05
2024.08.24 19:00:00,2_71131684713E-05
2024.08.24 20:00:00,2_68626390607E-05
2024.08.24 21:00:00,2_67205323325E-05
2024.08.24 22:00:00,2_6743291528E-05
2024.08.24 23:00:00,2_67251143669E-05
2024.08.25 00:00:00,2_66330043814E-05
2024.08.25 01:00:00,2_65985454462E-05
2024.08.25 02:00:00,2_65633716481E-05
2024.08.25 03:00:00,2_65018261416E-05
2024.08.25 04:00:00,2_64151185547E-05
2024.08.25 05:00:00,2_63478195848E-05
2024.08.25 06:00:00,2_62398480118E-05
2024.08.25 07:00:00,2_6142468414E-05
2024.08.25 08:00:00,2_60424312728E-05
2024.08.25 09:00:00,2_58879772446E-05
2024.08.25 10:00:00,2_56862967944E-05
2024.08.25 11:00:00,2_55385893979E-05
2024.08.25 12:00:00,2_54114856943E-05
2024.08.25 13:00:00,2_52853624261E-05
2024.08.25 14:00:00,2_51758065133E-05
2024.08.25 15:00:00,2_51545261563E-05
2024.08.25 16:00:00,2_50984230661E-05
2024.08.25 17:00:00,2_50722277997E-05
2024.08.25 18:00:00,2_50557677646E-05
2024.08.25 19:00:00,2_5020339308E-05
2024.08.25 20:00:00,2_49920412898E-05
2024.08.25 21:00:00,2_49566310231E-05
2024.08.25 22:00:00,2_4924711397E-05
2024.08.25 23:00:00,2_49045388045E-05
2024.08.26 00:00:00,2_48768064921E-05
2024.08.26 01:00:00,2_48542855843E-05
2024.08.26 02:00:00,2_48182568612E-05
2024.08.26 03:00:00,2_47972111538E-05
2024.08.26 04:00:00,2_47723946813E-05
2024.08.26 05:00:00,2_47450952884E-05
2024.08.26 06:00:00,2_47218740697E-05
2024.08.26 07:00:00,2_46640611294E-05
2024.08.26 08:00:00,2_45503633778E-05
2024.08.26 09:00:00,2_43902832153E-05
2024.08.26 10:00:00,2_40436293097E-05
2024.08.26 11:00:00,2_3613740268E-05
2024.08.26 12:00:00,2_33054379351E-05
2024.08.26 13:00:00,2_3153181246E-05
2024.08.26 14:00:00,2_30074620049E-05
2024.08.26 15:00:00,2_28999942919E-05
