Time [yyyy.MM.dd HH:mm:ss],cTR1 [g/m3]
2024.08.14 13:00:00,8.54163135955E-06
2024.08.14 14:00:00,8.83655411599E-06
2024.08.14 15:00:00,9.13101666811E-06
2024.08.14 16:00:00,9.38959328778E-06
2024.08.14 17:00:00,9.57538577495E-06
2024.08.14 18:00:00,9.72951238509E-06
2024.08.14 19:00:00,9.85096903605E-06
2024.08.14 20:00:00,9.94008951238E-06
2024.08.14 21:00:00,9.98080849968E-06
2024.08.14 22:00:00,9.93342018774E-06
2024.08.14 23:00:00,9.81989705906E-06
2024.08.15 00:00:00,9.71120698523E-06
2024.08.15 01:00:00,9.60656416282E-06
2024.08.15 02:00:00,9.50173125602E-06
2024.08.15 03:00:00,9.39337041928E-06
2024.08.15 04:00:00,9.280723134E-06
2024.08.15 05:00:00,9.14020347409E-06
2024.08.15 06:00:00,8.98426787899E-06
2024.08.15 07:00:00,8.81787673279E-06
2024.08.15 08:00:00,8.66577647685E-06
2024.08.15 09:00:00,8.55406688061E-06
2024.08.15 10:00:00,8.49072421261E-06
2024.08.15 11:00:00,8.45974227559E-06
2024.08.15 12:00:00,8.45646991365E-06
2024.08.15 13:00:00,8.48668423714E-06
2024.08.15 14:00:00,8.54999871081E-06
2024.08.15 15:00:00,8.63508557813E-06
2024.08.15 16:00:00,8.75387650012E-06
2024.08.15 17:00:00,8.8582155513E-06
2024.08.15 18:00:00,8.931566299E-06
2024.08.15 19:00:00,8.97287645785E-06
2024.08.15 20:00:00,8.98276812222E-06
2024.08.15 21:00:00,8.9618115453E-06
2024.08.15 22:00:00,8.92074695003E-06
2024.08.15 23:00:00,8.89161310624E-06
2024.08.16 00:00:00,8.86738780537E-06
2024.08.16 01:00:00,8.84320161276E-06
2024.08.16 02:00:00,8.82522999746E-06
2024.08.16 03:00:00,8.81423238752E-06
2024.08.16 04:00:00,8.80698553374E-06
2024.08.16 05:00:00,8.79592880665E-06
2024.08.16 06:00:00,8.78424452821E-06
2024.08.16 07:00:00,8.77504226082E-06
2024.08.16 08:00:00,8.76182730281E-06
2024.08.16 09:00:00,8.73282260727E-06
2024.08.16 10:00:00,8.6900054157E-06
2024.08.16 11:00:00,8.64665889821E-06
2024.08.16 12:00:00,8.61211628944E-06
2024.08.16 13:00:00,8.58977091411E-06
2024.08.16 14:00:00,8.5794563347E-06
2024.08.16 15:00:00,8.581036127E-06
2024.08.16 16:00:00,8.58635848999E-06
2024.08.16 17:00:00,8.59541614773E-06
2024.08.16 18:00:00,8.60913041834E-06
2024.08.16 19:00:00,8.62229535414E-06
2024.08.16 20:00:00,8.62918386701E-06
2024.08.16 21:00:00,8.62922388478E-06
2024.08.16 22:00:00,8.62345132191E-06
2024.08.16 23:00:00,8.61250646267E-06
2024.08.17 00:00:00,8.59775900608E-06
2024.08.17 01:00:00,8.58531529957E-06
2024.08.17 02:00:00,8.5775855041E-06
2024.08.17 03:00:00,8.57705072121E-06
2024.08.17 04:00:00,8.580263966E-06
2024.08.17 05:00:00,8.58605108078E-06
2024.08.17 06:00:00,8.58899420564E-06
2024.08.17 07:00:00,8.57788199937E-06
2024.08.17 08:00:00,8.53275923873E-06
2024.08.17 09:00:00,8.47567571327E-06
2024.08.17 10:00:00,8.43423822516E-06
2024.08.17 11:00:00,8.41381552164E-06
2024.08.17 12:00:00,8.41375640448E-06
2024.08.17 13:00:00,8.42890676722E-06
2024.08.17 14:00:00,8.45620616019E-06
2024.08.17 15:00:00,8.48765012051E-06
2024.08.17 16:00:00,8.51747518027E-06
2024.08.17 17:00:00,8.54865902511E-06
2024.08.17 18:00:00,8.57898976392E-06
2024.08.17 19:00:00,8.60781074152E-06
2024.08.17 20:00:00,8.6482750703E-06
2024.08.17 21:00:00,8.70071562531E-06
2024.08.17 22:00:00,8.76269496075E-06
2024.08.17 23:00:00,8.82160929905E-06
2024.08.18 00:00:00,8.87372061698E-06
2024.08.18 01:00:00,8.91511263035E-06
2024.08.18 02:00:00,8.95743960427E-06
2024.08.18 03:00:00,8.98612415767E-06
2024.08.18 04:00:00,9.00237319001E-06
2024.08.18 05:00:00,9.01777275431E-06
2024.08.18 06:00:00,9.0376688604E-06
2024.08.18 07:00:00,9.06992045202E-06
2024.08.18 08:00:00,9.11603001441E-06
2024.08.18 09:00:00,9.17138004297E-06
2024.08.18 10:00:00,9.23143124965E-06
2024.08.18 11:00:00,9.29804082261E-06
2024.08.18 12:00:00,9.37816639635E-06
2024.08.18 13:00:00,9.47755142988E-06
2024.08.18 14:00:00,9.61488785833E-06
2024.08.18 15:00:00,9.79596188699E-06
2024.08.18 16:00:00,1.00120414572E-05
2024.08.18 17:00:00,1.02573640106E-05
2024.08.18 18:00:00,1.05091121441E-05
2024.08.18 19:00:00,1.07390887933E-05
2024.08.18 20:00:00,1.09267302832E-05
2024.08.18 21:00:00,1.10593246063E-05
2024.08.18 22:00:00,1.11515983008E-05
2024.08.18 23:00:00,1.12169127533E-05
2024.08.19 00:00:00,1.12770112537E-05
2024.08.19 01:00:00,1.13234664241E-05
2024.08.19 02:00:00,1.13680571303E-05
2024.08.19 03:00:00,1.14277581815E-05
2024.08.19 04:00:00,1.14933436635E-05
2024.08.19 05:00:00,1.15754446597E-05
2024.08.19 06:00:00,1.1657352843E-05
2024.08.19 07:00:00,1.17210074677E-05
2024.08.19 08:00:00,1.17708796097E-05
2024.08.19 09:00:00,1.18320976981E-05
2024.08.19 10:00:00,1.19422420539E-05
2024.08.19 11:00:00,1.20964878079E-05
2024.08.19 12:00:00,1.2266239537E-05
2024.08.19 13:00:00,1.24844300444E-05
2024.08.19 14:00:00,1.29060272229E-05
2024.08.19 15:00:00,1.34845631692E-05
2024.08.19 16:00:00,1.41332111525E-05
2024.08.19 17:00:00,1.46758020492E-05
2024.08.19 18:00:00,1.50908053911E-05
2024.08.19 19:00:00,1.53038890858E-05
2024.08.19 20:00:00,1.52889642777E-05
2024.08.19 21:00:00,1.51552658281E-05
2024.08.19 22:00:00,1.49397283167E-05
2024.08.19 23:00:00,1.4720467334E-05
2024.08.20 00:00:00,1.44971254485E-05
2024.08.20 01:00:00,1.43147208291E-05
2024.08.20 02:00:00,1.41875789268E-05
2024.08.20 03:00:00,1.40835354614E-05
2024.08.20 04:00:00,1.39792136906E-05
2024.08.20 05:00:00,1.38785171657E-05
2024.08.20 06:00:00,1.38100149343E-05
2024.08.20 07:00:00,1.37766028274E-05
2024.08.20 08:00:00,1.37493152579E-05
2024.08.20 09:00:00,1.37332554004E-05
2024.08.20 10:00:00,1.37265542435E-05
2024.08.20 11:00:00,1.37206088766E-05
2024.08.20 12:00:00,1.36952212415E-05
2024.08.20 13:00:00,1.36834096338E-05
2024.08.20 14:00:00,1.36817488965E-05
2024.08.20 15:00:00,1.37089127747E-05
2024.08.20 16:00:00,1.3760030015E-05
2024.08.20 17:00:00,1.38243276524E-05
2024.08.20 18:00:00,1.38963496283E-05
2024.08.20 19:00:00,1.39062949529E-05
2024.08.20 20:00:00,1.38342766149E-05
2024.08.20 21:00:00,1.36886346809E-05
2024.08.20 22:00:00,1.35048421726E-05
2024.08.20 23:00:00,1.33029188873E-05
2024.08.21 00:00:00,1.31157976284E-05
2024.08.21 01:00:00,1.29536665554E-05
2024.08.21 02:00:00,1.28107176351E-05
2024.08.21 03:00:00,1.2679077372E-05
2024.08.21 04:00:00,1.25481283249E-05
2024.08.21 05:00:00,1.24205462271E-05
2024.08.21 06:00:00,1.22964265756E-05
2024.08.21 07:00:00,1.21718039736E-05
2024.08.21 08:00:00,1.20504173537E-05
2024.08.21 09:00:00,1.19313453979E-05
2024.08.21 10:00:00,1.18305106298E-05
2024.08.21 11:00:00,1.1731091945E-05
2024.08.21 12:00:00,1.16766987048E-05
2024.08.21 13:00:00,1.16501123557E-05
2024.08.21 14:00:00,1.16016335596E-05
2024.08.21 15:00:00,1.15623588499E-05
2024.08.21 16:00:00,1.15750035548E-05
2024.08.21 17:00:00,1.16028113553E-05
2024.08.21 18:00:00,1.16032515507E-05
2024.08.21 19:00:00,1.15687507787E-05
2024.08.21 20:00:00,1.14896156447E-05
2024.08.21 21:00:00,1.13782789413E-05
2024.08.21 22:00:00,1.12459638331E-05
2024.08.21 23:00:00,1.11254194053E-05
2024.08.22 00:00:00,1.10355222205E-05
2024.08.22 01:00:00,1.09736765808E-05
2024.08.22 02:00:00,1.09311913548E-05
2024.08.22 03:00:00,1.08831127363E-05
2024.08.22 04:00:00,1.08062249637E-05
2024.08.22 05:00:00,1.07151208795E-05
2024.08.22 06:00:00,1.06181933006E-05
2024.08.22 07:00:00,1.05009630715E-05
2024.08.22 08:00:00,1.03597849375E-05
2024.08.22 09:00:00,1.02222302303E-05
2024.08.22 10:00:00,1.00717643363E-05
2024.08.22 11:00:00,9.87877592706E-06
2024.08.22 12:00:00,9.68472613749E-06
2024.08.22 13:00:00,9.53026847128E-06
2024.08.22 14:00:00,9.41593316384E-06
2024.08.22 15:00:00,9.3300232038E-06
2024.08.22 16:00:00,9.26131997403E-06
2024.08.22 17:00:00,9.20039929042E-06
2024.08.22 18:00:00,9.13745861908E-06
2024.08.22 19:00:00,9.08277525014E-06
2024.08.22 20:00:00,9.03212003323E-06
2024.08.22 21:00:00,8.99304723134E-06
2024.08.22 22:00:00,8.96063374967E-06
2024.08.22 23:00:00,8.94332879398E-06
2024.08.23 00:00:00,8.9269833552E-06
2024.08.23 01:00:00,8.92130537977E-06
2024.08.23 02:00:00,8.92189473234E-06
2024.08.23 03:00:00,8.92677417141E-06
2024.08.23 04:00:00,8.93337801244E-06
2024.08.23 05:00:00,8.96130859473E-06
2024.08.23 06:00:00,9.01369003259E-06
2024.08.23 07:00:00,9.06638979359E-06
2024.08.23 08:00:00,9.1255242296E-06
2024.08.23 09:00:00,9.18828573049E-06
2024.08.23 10:00:00,9.26431403059E-06
2024.08.23 11:00:00,9.33589944907E-06
2024.08.23 12:00:00,9.38714492804E-06
2024.08.23 13:00:00,9.44587100093E-06
2024.08.23 14:00:00,9.5100094768E-06
2024.08.23 15:00:00,9.58486270974E-06
2024.08.23 16:00:00,9.68670065049E-06
2024.08.23 17:00:00,9.83677273325E-06
2024.08.23 18:00:00,1.00052629932E-05
