Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.21 07:00:00,2_43108224822E-05
2024.08.21 08:00:00,2_42449041252E-05
2024.08.21 09:00:00,2_41828383878E-05
2024.08.21 10:00:00,2_41310244746E-05
2024.08.21 11:00:00,2_40909521381E-05
2024.08.21 12:00:00,2_4071223379E-05
2024.08.21 13:00:00,2_40438639594E-05
2024.08.21 14:00:00,2_40067656705E-05
2024.08.21 15:00:00,2_39517212322E-05
2024.08.21 16:00:00,2_39381042775E-05
2024.08.21 17:00:00,2_39095479628E-05
2024.08.21 18:00:00,2_38615029957E-05
2024.08.21 19:00:00,2_38380307565E-05
2024.08.21 20:00:00,2_37964886765E-05
2024.08.21 21:00:00,2_37577169173E-05
2024.08.21 22:00:00,2_37261465372E-05
2024.08.21 23:00:00,2_36894702539E-05
2024.08.22 00:00:00,2_36698269873E-05
2024.08.22 01:00:00,2_36515443248E-05
2024.08.22 02:00:00,2_36206597037E-05
2024.08.22 03:00:00,2_35982879531E-05
2024.08.22 04:00:00,2_35601637542E-05
2024.08.22 05:00:00,2_35229508689E-05
2024.08.22 06:00:00,2_34825183725E-05
2024.08.22 07:00:00,2_34117833315E-05
2024.08.22 08:00:00,2_3314720238E-05
2024.08.22 09:00:00,2_32105721807E-05
2024.08.22 10:00:00,2_31009889831E-05
2024.08.22 11:00:00,2_29936049436E-05
2024.08.22 12:00:00,2_29189517995E-05
2024.08.22 13:00:00,2_28093776968E-05
2024.08.22 14:00:00,2_27400232689E-05
2024.08.22 15:00:00,2_27447926591E-05
2024.08.22 16:00:00,2_27605487453E-05
2024.08.22 17:00:00,2_27639156947E-05
2024.08.22 18:00:00,2_27591608564E-05
2024.08.22 19:00:00,2_27910077228E-05
2024.08.22 20:00:00,2_27992932196E-05
2024.08.22 21:00:00,2_27760810958E-05
2024.08.22 22:00:00,2_27756627282E-05
2024.08.22 23:00:00,2_27662876569E-05
2024.08.23 00:00:00,2_27469336096E-05
2024.08.23 01:00:00,2_27296422963E-05
2024.08.23 02:00:00,2_27156342589E-05
2024.08.23 03:00:00,2_26954471145E-05
2024.08.23 04:00:00,2_26708616538E-05
2024.08.23 05:00:00,2_26392694458E-05
2024.08.23 06:00:00,2_26108713832E-05
2024.08.23 07:00:00,2_25673993555E-05
2024.08.23 08:00:00,2_25057174248E-05
2024.08.23 09:00:00,2_24580107897E-05
2024.08.23 10:00:00,2_24313680519E-05
