Time [yyyy.MM.dd HH:mm:ss],dTR1 [g/m3]
2024.08.25 02:00:00,1_90811588254E-05
2024.08.25 03:00:00,1_90171467693E-05
2024.08.25 04:00:00,1_89249130926E-05
2024.08.25 05:00:00,1_88314024854E-05
2024.08.25 06:00:00,1_8737568098E-05
2024.08.25 07:00:00,1_86480738193E-05
2024.08.25 08:00:00,1_85387343663E-05
2024.08.25 09:00:00,1_84183427336E-05
2024.08.25 10:00:00,1_83115807886E-05
2024.08.25 11:00:00,1_82206695172E-05
2024.08.25 12:00:00,1_81238556252E-05
2024.08.25 13:00:00,1_80051338248E-05
2024.08.25 14:00:00,1_78692043846E-05
2024.08.25 15:00:00,1_77287911356E-05
2024.08.25 16:00:00,1_75798577402E-05
2024.08.25 17:00:00,1_74281249201E-05
2024.08.25 18:00:00,1_72842283064E-05
2024.08.25 19:00:00,1_7138723706E-05
2024.08.25 20:00:00,1_69739032572E-05
2024.08.25 21:00:00,1_6800904632E-05
2024.08.25 22:00:00,1_66339978023E-05
2024.08.25 23:00:00,1_64946832228E-05
2024.08.26 00:00:00,1_63827917277E-05
2024.08.26 01:00:00,1_62810283655E-05
2024.08.26 02:00:00,1_61774732987E-05
